"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.911950720E-1,-5.087678507E-2,4.255693555E-1,9.790489197E0,9.799866144E0
4.937156970E-1,-5.566519126E-2,4.399345517E-1,9.814431190E0,9.824444036E0
4.962363220E-1,-4.129998013E-2,4.447229803E-1,9.795277596E0,9.805454981E0
4.987569470E-1,-4.129998013E-2,4.447229803E-1,9.790489197E0,9.800671555E0
5.012775720E-1,-3.172317147E-2,4.447229803E-1,9.785700798E0,9.795852439E0
5.037981970E-1,-3.172317147E-2,4.495113790E-1,9.795277596E0,9.805637665E0
5.063188220E-1,-3.172317147E-2,4.542997777E-1,9.795277596E0,9.805858342E0
5.088394470E-1,-3.651157767E-2,4.495113790E-1,9.780912399E0,9.791304353E0
5.113600720E-1,-3.651157767E-2,4.447229803E-1,9.790489197E0,9.800652546E0
5.138807490E-1,-3.651157767E-2,4.590881765E-1,9.776124001E0,9.786965593E0
5.164014780E-1,-2.693476900E-2,4.590881765E-1,9.776124001E0,9.786934551E0
5.189222600E-1,-3.172317147E-2,4.734533727E-1,9.776124001E0,9.787633265E0
5.214430930E-1,-4.608838260E-2,4.782418013E-1,9.766547203E0,9.778357921E0
5.239639780E-1,-4.608838260E-2,4.782418013E-1,9.761758804E0,9.773575309E0
5.264849160E-1,-5.566519126E-2,4.734533727E-1,9.776124001E0,9.787740147E0
5.290058530E-1,-5.087678507E-2,4.638765752E-1,9.790489197E0,9.801604391E0
5.315267910E-1,-5.566519126E-2,4.590881765E-1,9.771335602E0,9.782272743E0
5.340477280E-1,-6.045359373E-2,4.638765752E-1,9.780912399E0,9.792092906E0
5.365686660E-1,-6.045359373E-2,4.590881765E-1,9.785700798E0,9.796650280E0
5.390893950E-1,-6.045359373E-2,4.782418013E-1,9.790489197E0,9.802349135E0
5.416101240E-1,-7.481880486E-2,4.782418013E-1,9.800065994E0,9.812013380E0
5.441305930E-1,-8.439560980E-2,4.590881765E-1,9.804854393E0,9.815959161E0
5.466510620E-1,-9.876082093E-2,4.542997777E-1,9.828796387E0,9.839785587E0
5.491715300E-1,-1.035492271E-1,4.399345517E-1,9.814431190E0,9.824832031E0
5.516919990E-1,-1.035492271E-1,4.351461530E-1,9.790489197E0,9.800701675E0
5.542124680E-1,-1.131260321E-1,4.303577542E-1,9.809642792E0,9.819729986E0
5.567329890E-1,-1.035492271E-1,4.399345517E-1,9.804854393E0,9.815265382E0
5.592535620E-1,-1.322796494E-1,4.447229803E-1,9.819219589E0,9.830175470E0
5.617741870E-1,-1.274912357E-1,4.255693555E-1,9.824007988E0,9.834047805E0
