"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.841835000E-1,-3.417968750E-3,-1.375681162E-2,6.536483765E-3,1.560954824E-2
8.892040210E-1,-3.509283066E-3,-9.137272835E-3,-7.763862610E-3,1.249329361E-2
8.942245410E-1,-3.548145294E-3,-4.504680634E-3,1.800537109E-3,6.010275911E-3
8.992450620E-1,-8.332252502E-3,-4.601895809E-3,-7.711410522E-3,1.225029506E-2
9.042655830E-1,-8.379578590E-3,-1.409220695E-2,1.608371735E-2,2.296722878E-2
9.092861040E-1,-1.787471771E-2,-1.401215792E-2,1.119518280E-2,2.532149721E-2
9.143066250E-1,-1.309406757E-2,-1.867556572E-2,6.341934204E-3,2.367385668E-2
9.193271460E-1,-1.310467720E-2,-1.860880852E-2,1.102924347E-2,2.529159011E-2
9.243476660E-1,-1.786375046E-2,-1.369100809E-2,1.092338562E-2,2.501754657E-2
9.293681870E-1,-8.386373520E-3,-1.830548048E-2,2.030944824E-2,2.859887348E-2
9.343887080E-1,-8.433461189E-3,-2.773314714E-2,1.538276672E-2,3.281585334E-2
9.394092290E-1,-8.431315422E-3,-1.799082756E-2,5.748748779E-3,2.068344915E-2
9.444297500E-1,-8.477926254E-3,-2.736955881E-2,5.689620972E-3,2.921197990E-2
9.494502710E-1,-1.327550411E-2,-1.778501272E-2,5.636215210E-3,2.289787346E-2
9.544707910E-1,-1.323294640E-2,-1.772570610E-2,5.586624146E-3,2.281494897E-2
9.594913120E-1,-3.745436668E-3,-1.777005196E-2,1.028537750E-2,2.087084169E-2
9.645118330E-1,5.660295486E-3,-1.781976223E-2,1.969337463E-2,2.715532867E-2
9.695323540E-1,-8.800983429E-3,-8.360624313E-3,1.477241516E-2,1.912018823E-2
9.745528750E-1,-4.093170166E-3,-1.316851377E-2,-4.350662231E-3,1.446001587E-2
9.795733960E-1,-8.875727654E-3,-1.789617538E-2,9.928703308E-3,2.230763959E-2
9.845939160E-1,-1.361846924E-2,5.803406239E-3,-4.396438599E-3,1.544250306E-2
9.896144370E-1,-8.867740631E-3,-2.280771732E-2,9.877204895E-3,2.638916387E-2
9.946349580E-1,5.863904953E-4,-1.795238256E-2,2.889633179E-4,1.796428104E-2
9.996554790E-1,-1.367783546E-2,-8.337497711E-3,5.035400391E-3,1.679143556E-2
