 (0.332500+0.000000j), (-0.004599-0.000000j), (-0.034612-0.000000j), (-25.906811+0.000000j)
 (0.333750+0.000000j), (-0.004595-0.000000j), (-0.034600-0.000000j), (-25.900471+0.000000j)
 (0.335000+0.000000j), (-0.004591-0.000000j), (-0.034588-0.000000j), (-25.894129+0.000000j)
 (0.336250+0.000000j), (-0.004587-0.000000j), (-0.034576-0.000000j), (-25.887786+0.000000j)
 (0.337500+0.000000j), (-0.004583-0.000000j), (-0.034565+0.000000j), (-25.881442+0.000000j)
 (0.338750+0.000000j), (-0.004580-0.000000j), (-0.034553-0.000000j), (-25.875097+0.000000j)
 (0.340000+0.000000j), (-0.004576-0.000000j), (-0.034541+0.000000j), (-25.868751+0.000000j)
 (0.341250+0.000000j), (-0.004572-0.000000j), (-0.034529+0.000000j), (-25.862405+0.000000j)
 (0.342500+0.000000j), (-0.004568+0.000000j), (-0.034517-0.000000j), (-25.856057+0.000000j)
 (0.343750+0.000000j), (-0.004564-0.000000j), (-0.034505-0.000000j), (-25.849708+0.000000j)
 (0.345000+0.000000j), (-0.004561-0.000000j), (-0.034493-0.000000j), (-25.843358-0.000000j)
 (0.346250+0.000000j), (-0.004557-0.000000j), (-0.034481-0.000000j), (-25.837007+0.000000j)
 (0.347500+0.000000j), (-0.004553-0.000000j), (-0.034469+0.000000j), (-25.830655+0.000000j)
 (0.348750+0.000000j), (-0.004549-0.000000j), (-0.034457-0.000000j), (-25.824302+0.000000j)
 (0.350000+0.000000j), (-0.004545-0.000000j), (-0.034445+0.000000j), (-25.817950+0.000000j)
 (0.351250+0.000000j), (-0.004541-0.000000j), (-0.034433-0.000000j), (-25.811597+0.000000j)
 (0.352500+0.000000j), (-0.004538-0.000000j), (-0.034420+0.000000j), (-25.805246+0.000000j)
 (0.353750+0.000000j), (-0.004534-0.000000j), (-0.034408+0.000000j), (-25.798896+0.000000j)
