 (0.221586+0.000000j), (-0.817599-0.000000j), (1.436978-0.000000j), (0.696028+0.000000j)
 (0.222838+0.000000j), (0.231111-0.000000j), (0.698883+0.000000j), (0.065407-0.000000j)
 (0.224090+0.000000j), (0.720893+0.000000j), (0.628232-0.000000j), (-0.486608+0.000000j)
 (0.225342+0.000000j), (0.060898+0.000000j), (0.238552+0.000000j), (0.170347-0.000000j)
 (0.226594+0.000000j), (-0.480629-0.000000j), (-0.093540-0.000000j), (0.314802+0.000000j)
 (0.227846+0.000000j), (0.152649+0.000000j), (0.519829+0.000000j), (0.907271-0.000000j)
 (0.229098+0.000000j), (0.323236+0.000000j), (1.109975-0.000000j), (1.871237+0.000000j)
 (0.230350+0.000000j), (0.450570-0.000000j), (0.139685+0.000000j), (-1.028622-0.000000j)
 (0.231602+0.000000j), (0.696275-0.000000j), (-0.473596-0.000000j), (-4.017259+0.000000j)
 (0.232854+0.000000j), (0.225001+0.000000j), (-0.176813-0.000000j), (-0.503801-0.000000j)
 (0.234105+0.000000j), (-0.061471-0.000000j), (-0.434760+0.000000j), (0.906819+0.000000j)
 (0.235357+0.000000j), (-0.519408+0.000000j), (0.385768-0.000000j), (0.591934-0.000000j)
 (0.236609+0.000000j), (-1.625273+0.000000j), (1.138468+0.000000j), (1.134959+0.000000j)
 (0.237861+0.000000j), (-0.191479-0.000000j), (0.603463+0.000000j), (-0.084022+0.000000j)
 (0.239113+0.000000j), (0.449684+0.000000j), (0.670403-0.000000j), (-1.314049-0.000000j)
 (0.240365+0.000000j), (-0.014214-0.000000j), (0.287870+0.000000j), (-0.208832-0.000000j)
 (0.241617+0.000000j), (-0.493372-0.000000j), (-0.168762-0.000000j), (0.014460-0.000000j)
 (0.242869+0.000000j), (0.235661+0.000000j), (0.620719-0.000000j), (-0.190529+0.000000j)
 (0.244121+0.000000j), (0.757104-0.000000j), (1.525620+0.000000j), (-0.951711+0.000000j)
 (0.245373+0.000000j), (0.375850+0.000000j), (0.703273-0.000000j), (0.524620-0.000000j)
 (0.246624+0.000000j), (0.316396+0.000000j), (0.688130+0.000000j), (2.012181+0.000000j)
 (0.247876+0.000000j), (0.055764-0.000000j), (0.153579-0.000000j), (0.560065-0.000000j)
 (0.249128+0.000000j), (-0.510862+0.000000j), (-0.516877-0.000000j), (-0.174660-0.000000j)
 (0.250380+0.000000j), (-0.016352-0.000000j), (-0.033122+0.000000j), (-0.011259+0.000000j)
 (0.251632+0.000000j), (-0.072897+0.000000j), (-0.053036-0.000000j), (-0.486088+0.000000j)
 (0.252884+0.000000j), (0.193453-0.000000j), (0.250308+0.000000j), (-0.140970+0.000000j)
 (0.254136+0.000000j), (0.316207+0.000000j), (0.838006-0.000000j), (-0.475922+0.000000j)
 (0.255388+0.000000j), (0.320509+0.000000j), (0.124910-0.000000j), (-0.023036-0.000000j)
 (0.256640+0.000000j), (0.247930+0.000000j), (-0.499626+0.000000j), (-0.097826-0.000000j)
 (0.257892+0.000000j), (0.516691-0.000000j), (-0.121411+0.000000j), (0.293071-0.000000j)
