 (0.676919+0.000000j)  (42.000384-0.000000j)  (-26.173045+0.000000j)  (41.143544-0.000000j)
 (0.679371+0.000000j)  (42.020473-0.000000j)  (-26.163621-0.000000j)  (41.151031+0.000000j)
 (0.681824+0.000000j)  (42.040395-0.000000j)  (-26.154093-0.000000j)  (41.158376-0.000000j)
 (0.684277+0.000000j)  (42.060150+0.000000j)  (-26.144459-0.000000j)  (41.165579+0.000000j)
 (0.686729+0.000000j)  (42.079740-0.000000j)  (-26.134721+0.000000j)  (41.172641-0.000000j)
 (0.689182+0.000000j)  (42.099164-0.000000j)  (-26.124877-0.000000j)  (41.179562+0.000000j)
 (0.691634+0.000000j)  (42.118421+0.000000j)  (-26.114931+0.000000j)  (41.186344-0.000000j)
 (0.694087+0.000000j)  (42.137511-0.000000j)  (-26.104880+0.000000j)  (41.192986+0.000000j)
 (0.696540+0.000000j)  (42.156433+0.000000j)  (-26.094724-0.000000j)  (41.199487+0.000000j)
 (0.698992+0.000000j)  (42.175186-0.000000j)  (-26.084461-0.000000j)  (41.205849+0.000000j)
 (0.701445+0.000000j)  (42.193772-0.000000j)  (-26.074091-0.000000j)  (41.212071+0.000000j)
 (0.703897+0.000000j)  (42.212191-0.000000j)  (-26.063616+0.000000j)  (41.218155+0.000000j)
 (0.706350+0.000000j)  (42.230442+0.000000j)  (-26.053037-0.000000j)  (41.224102+0.000000j)
 (0.708803+0.000000j)  (42.248524-0.000000j)  (-26.042354-0.000000j)  (41.229912+0.000000j)
 (0.711255+0.000000j)  (42.266438-0.000000j)  (-26.031568+0.000000j)  (41.235587-0.000000j)
