"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.312143330E-1,-1.627798378E-2,-1.581605673E-1,3.769397736E-2,1.634031020E-1
7.362352700E-1,-2.085390314E-2,-1.640062928E-1,2.767944336E-2,1.676278645E-1
7.412562080E-1,-1.114621013E-2,-1.794036031E-1,4.624938965E-2,1.856041401E-1
7.462771450E-1,-6.160125136E-3,-1.948276162E-1,-1.800537109E-3,1.949332940E-1
7.512980830E-1,-1.562061533E-2,-2.150781155E-1,4.079151154E-2,2.194687832E-1
7.563190200E-1,-2.015481517E-2,-2.353147268E-1,3.080844879E-2,2.381772402E-1
7.613399580E-1,-2.949433774E-2,-2.413958907E-1,3.042793274E-2,2.450872316E-1
7.663608950E-1,-1.981374994E-2,-2.429363132E-1,3.482151031E-2,2.462177380E-1
7.713818330E-1,-2.430428751E-2,-2.398186922E-1,3.918743134E-2,2.442117079E-1
7.764027700E-1,-2.416837029E-2,-2.417337894E-1,3.404235840E-2,2.453124890E-1
7.814237080E-1,-1.917738840E-2,-2.389879823E-1,4.794311523E-2,2.445026998E-1
7.864446450E-1,-3.326941282E-2,-2.269750237E-1,2.850627899E-2,2.311647101E-1
7.914655830E-1,-2.361353301E-2,-1.963263750E-1,3.774356842E-2,2.013112551E-1
7.964865200E-1,-3.313984722E-2,-1.897787452E-1,4.216384888E-2,1.972105772E-1
8.015074580E-1,-1.398808695E-2,-1.739439964E-1,4.181289673E-2,1.794449743E-1
8.065283950E-1,-1.879441179E-2,-1.536476612E-1,4.622554779E-2,1.615476245E-1
8.115493330E-1,-4.566693678E-3,-1.431208849E-1,4.586124420E-2,1.503585585E-1
8.165702700E-1,-4.754761234E-3,-1.232882142E-1,4.076099396E-2,1.299386399E-1
8.215912080E-1,9.411919862E-3,-1.085247397E-1,4.996109009E-2,1.198428717E-1
8.266121450E-1,9.266752750E-3,-9.393596649E-2,3.059673309E-2,9.922700531E-2
8.316330830E-1,2.801335603E-2,-7.957226038E-2,3.039646149E-2,8.966848727E-2
8.366540200E-1,3.230651468E-2,-7.012850046E-2,2.545452118E-2,8.129975471E-2
8.416749580E-1,2.237012610E-2,-5.601489544E-2,1.105690002E-2,6.132166086E-2
8.466958950E-1,3.156650066E-2,-3.737407923E-2,1.578140259E-2,5.140348655E-2
8.517168330E-1,3.113753349E-2,-2.833384275E-2,2.046203613E-2,4.680862698E-2
8.567377700E-1,3.070788085E-2,-1.947224140E-2,1.561546326E-2,3.957252613E-2
8.617587080E-1,1.603632793E-2,-1.553642750E-2,1.081848145E-2,2.481096398E-2
8.667796450E-1,1.586191356E-3,-1.152974367E-2,6.052017212E-3,1.311784679E-2
8.718005830E-1,-1.273924857E-2,-2.655065060E-2,1.324653625E-3,2.947847025E-2
8.768215200E-1,-1.275580376E-2,-2.730417252E-2,-1.285076141E-2,3.276233257E-2
8.818424580E-1,-2.222178876E-2,-2.805119753E-2,-7.913589478E-3,3.665109108E-2
8.868633950E-1,-3.155288473E-2,-1.924341917E-2,-2.201652527E-2,4.301884588E-2
8.918843330E-1,-7.721856236E-3,-2.480626106E-2,-1.700305939E-2,3.104966474E-2
8.969052700E-1,-2.676131576E-2,-3.032326698E-2,-2.152824402E-2,4.581630531E-2
9.019262080E-1,-2.190390602E-2,-3.104555607E-2,-7.021903992E-3,3.863825547E-2
9.069471450E-1,-1.229104400E-2,-2.231639624E-2,-6.876945496E-3,2.638908265E-2
9.119680830E-1,-2.655250579E-2,-8.911430836E-3,-6.733894348E-3,2.880615379E-2
9.169890200E-1,-3.599832579E-2,4.433572292E-3,7.650375366E-3,3.706837286E-2
