 (0.257019+0.000000j)  (338.301105+46.753640j)  (-54.750685-60.932777j)  (-92.290490-126.283034j)
 (0.258272+0.000000j)  (-279.379572+115.926748j)  (116.513461+88.782749j)  (93.425984-236.927687j)
 (0.259526+0.000000j)  (74.896522-392.895467j)  (-127.696796+175.212525j)  (160.341062-26.349704j)
 (0.260780+0.000000j)  (364.880836+175.450962j)  (-158.287415-29.125344j)  (46.630657-34.551252j)
 (0.262034+0.000000j)  (-148.764718+237.288048j)  (-115.870255-57.257859j)  (147.968812+34.526843j)
 (0.263287+0.000000j)  (-72.575000-6.137961j)  (-42.545177-246.035723j)  (-125.063303+206.367273j)
 (0.264541+0.000000j)  (-146.847359+91.959445j)  (362.958504-84.995831j)  (-280.198956-216.985106j)
 (0.265795+0.000000j)  (-171.688824-179.037679j)  (102.074430+436.849306j)  (221.564252-279.045634j)
 (0.267049+0.000000j)  (80.992407-111.830764j)  (-427.391939+101.435981j)  (162.024828+225.643126j)
 (0.268302+0.000000j)  (-37.905960-18.669618j)  (-44.026572-346.313191j)  (-287.746918+102.266728j)
 (0.269556+0.000000j)  (10.131319-99.281475j)  (280.756236+19.425390j)  (-176.404484-209.561106j)
 (0.270810+0.000000j)  (-64.562013-63.658552j)  (-3.335170+234.277286j)  (-43.015137-166.272647j)
 (0.272064+0.000000j)  (49.070081-350.062445j)  (-145.836880+91.946395j)  (-68.866887-203.024640j)
 (0.273317+0.000000j)  (466.579978-62.220304j)  (-133.294271-7.317775j)  (55.615821-279.464148j)
 (0.274571+0.000000j)  (91.222450+260.858675j)  (-65.241548-58.293656j)  (193.648354-152.459962j)
 (0.275825+0.000000j)  (95.463343-67.772649j)  (-53.579938+0.338823j)  (91.986881-15.177851j)
 (0.277079+0.000000j)  (296.216063+323.618002j)  (-123.803141-85.265721j)  (22.338428-164.948200j)
 (0.278332+0.000000j)  (-328.783131+334.903100j)  (36.860093-157.793063j)  (305.933424-135.869357j)
 (0.279586+0.000000j)  (-111.036349-244.759641j)  (64.851612-8.958028j)  (200.072229+266.261659j)
 (0.280840+0.000000j)  (214.693316+173.572337j)  (-1.033531-72.211179j)  (-227.282160+131.128159j)
 (0.282094+0.000000j)  (-277.922107+207.052525j)  (136.714649-45.080345j)  (-91.983628-190.589042j)
 (0.283347+0.000000j)  (-108.152466-171.641520j)  (49.998820+69.262813j)  (19.405380-103.487025j)
 (0.284601+0.000000j)  (9.396351+59.647635j)  (94.993058-39.486198j)  (11.901101-215.873506j)
 (0.285855+0.000000j)  (-174.967748-93.197522j)  (206.673065+234.767897j)  (266.171144-143.234557j)
 (0.287109+0.000000j)  (146.456935-152.527674j)  (-243.538295+334.437321j)  (134.153384+112.816923j)
 (0.288362+0.000000j)  (76.137292+219.132181j)  (-290.620891-142.312388j)  (20.915312-51.185263j)
 (0.289616+0.000000j)  (-278.606649+78.498338j)  (46.640950-106.039342j)  (197.284472+8.301018j)
 (0.290870+0.000000j)  (-170.950481-230.547506j)  (-62.065180+14.483159j)  (36.670059+144.539411j)
 (0.292124+0.000000j)  (80.443103-208.829258j)  (25.501962-74.702705j)  (3.217005+2.008029j)
 (0.293377+0.000000j)  (95.710576-30.641736j)  (-15.097651+142.775655j)  (44.987319+106.799596j)
 (0.294631+0.000000j)  (-0.111295-81.871910j)  (-256.774095-93.488950j)  (-139.453406+49.942290j)
 (0.295885+0.000000j)  (187.347235-94.855464j)  (141.668696-249.102246j)  (-36.803894-114.251179j)
 (0.297139+0.000000j)  (114.301943+206.527662j)  (126.502497+219.392911j)  (27.720809-23.895579j)
 (0.298392+0.000000j)  (-199.475429+66.554663j)  (-296.620409+18.464146j)  (-3.236759-34.689972j)
 (0.299646+0.000000j)  (-55.084074-141.244146j)  (18.273755-282.880801j)  (-14.912085+14.139326j)
 (0.300900+0.000000j)  (-48.621457-60.816052j)  (168.745279+36.597251j)  (-162.443084-119.194486j)
 (0.302154+0.000000j)  (-28.078129-278.489085j)  (-66.178079+68.099764j)  (109.861405-328.817351j)
 (0.303407+0.000000j)  (287.834287-211.281911j)  (-71.016268-29.983253j)  (292.681132-2.084282j)
 (0.304661+0.000000j)  (243.035208-0.770429j)  (-120.419841-91.498729j)  (23.967956+41.647997j)
 (0.305915+0.000000j)  (288.907720-11.468131j)  (27.486325-268.313057j)  (160.922908-99.449078j)
 (0.307169+0.000000j)  (300.178328+239.125452j)  (256.628861-86.335105j)  (180.026078+141.967800j)
 (0.308422+0.000000j)  (80.105167+257.654848j)  (104.929167+109.924260j)  (1.957533+50.893892j)
 (0.309676+0.000000j)  (114.598133+286.073637j)  (-9.807800+8.611840j)  (168.355232+79.877266j)
 (0.310930+0.000000j)  (-176.382805+390.874818j)  (46.049445-46.902011j)  (-76.563407+290.092618j)
 (0.312184+0.000000j)  (-234.343089+9.883248j)  (94.305499-18.987254j)  (-280.501601-76.239961j)
 (0.313437+0.000000j)  (41.816763+203.808907j)  (74.762262+29.629113j)  (87.122954-217.387169j)
 (0.314691+0.000000j)  (-488.483249+320.902153j)  (55.177994-37.787100j)  (145.946661+51.001374j)
 (0.315945+0.000000j)  (-496.173007-403.260028j)  (253.811619-6.907891j)  (5.193698+61.635169j)
 (0.317199+0.000000j)  (124.403280-343.405693j)  (196.884290+343.880737j)  (5.083228+31.413341j)
 (0.318452+0.000000j)  (14.431989-30.761889j)  (-225.512834+309.346165j)  (-12.536547+16.752762j)
