"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.879562120E-1,3.531447425E-2,2.148796022E-1,9.795277596E0,9.797697869E0
3.904755870E-1,2.094926499E-2,2.244564146E-1,9.790489197E0,9.793084206E0
3.929950140E-1,2.573766746E-2,2.100912035E-1,9.795277596E0,9.797564183E0
3.955144930E-1,2.573766746E-2,2.244564146E-1,9.790489197E0,9.793095620E0
3.980340760E-1,2.094926499E-2,2.292448133E-1,9.795277596E0,9.797982202E0
4.005537120E-1,2.573766746E-2,2.196680009E-1,9.771335602E0,9.773838340E0
4.030733990E-1,3.052607179E-2,2.292448133E-1,9.771335602E0,9.774072052E0
4.055931390E-1,4.010287672E-2,2.100912035E-1,9.771335602E0,9.773676176E0
4.081129300E-1,4.489128292E-2,2.053027898E-1,9.785700798E0,9.787957119E0
4.106327740E-1,2.573766746E-2,2.100912035E-1,9.785700798E0,9.787989622E0
4.131526700E-1,1.616086066E-2,2.100912035E-1,9.800065994E0,9.802330997E0
4.156725660E-1,2.094926499E-2,2.100912035E-1,9.795277596E0,9.797552774E0
4.181924620E-1,4.010287672E-2,2.148796022E-1,9.785700798E0,9.788141887E0
4.207123570E-1,2.094926499E-2,2.100912035E-1,9.809642792E0,9.811914639E0
4.232322530E-1,2.573766746E-2,2.100912035E-1,9.795277596E0,9.797564183E0
4.257521490E-1,4.010287672E-2,2.196680009E-1,9.800065994E0,9.802609640E0
4.282714200E-1,1.616086066E-2,2.244564146E-1,9.795277596E0,9.797862268E0
4.307906910E-1,2.573766746E-2,2.292448133E-1,9.785700798E0,9.788419470E0
4.333099620E-1,1.616086066E-2,2.483984232E-1,9.790489197E0,9.793653132E0
4.358292320E-1,4.489128292E-2,2.483984232E-1,9.785700798E0,9.788955874E0
4.383485030E-1,3.531447425E-2,2.579752207E-1,9.785700798E0,9.789164338E0
4.408677740E-1,2.573766746E-2,2.627636492E-1,9.776124001E0,9.779688525E0
4.433870450E-1,3.052607179E-2,2.579752207E-1,9.800065994E0,9.803508380E0
4.459063160E-1,2.573766746E-2,2.483984232E-1,9.800065994E0,9.803247304E0
4.484254820E-1,2.094926499E-2,2.531868219E-1,9.804854393E0,9.808145192E0
4.509446490E-1,3.052607179E-2,2.579752207E-1,9.800065994E0,9.803508380E0
4.534638160E-1,4.489128292E-2,2.531868219E-1,9.800065994E0,9.803438799E0
4.559829820E-1,4.010287672E-2,2.483984232E-1,9.790489197E0,9.793721904E0
4.585021490E-1,4.010287672E-2,2.483984232E-1,9.785700798E0,9.788935086E0
4.610213160E-1,4.010287672E-2,2.531868219E-1,9.776124001E0,9.779484254E0
4.635404820E-1,4.489128292E-2,2.436100245E-1,9.785700798E0,9.788835537E0
4.660596490E-1,4.010287672E-2,2.531868219E-1,9.809642792E0,9.812991568E0
4.685788160E-1,3.052607179E-2,2.483984232E-1,9.809642792E0,9.812834724E0
4.710979820E-1,3.052607179E-2,2.579752207E-1,9.804854393E0,9.808295098E0
4.736172010E-1,3.052607179E-2,2.531868219E-1,9.804854393E0,9.808170323E0
4.761364720E-1,3.531447425E-2,2.675520480E-1,9.785700798E0,9.789421399E0
4.786557950E-1,3.052607179E-2,2.531868219E-1,9.795277596E0,9.798596766E0
4.811751700E-1,3.531447425E-2,2.675520480E-1,9.785700798E0,9.789421399E0
4.836946490E-1,2.573766746E-2,2.819172442E-1,9.800065994E0,9.804153877E0
4.862142320E-1,3.052607179E-2,2.819172442E-1,9.800065994E0,9.804167617E0
4.887339200E-1,2.094926499E-2,2.819172442E-1,9.776124001E0,9.780210462E0
4.912537120E-1,2.573766746E-2,2.627636492E-1,9.800065994E0,9.803621813E0
4.937735550E-1,4.489128292E-2,2.675520480E-1,9.790489197E0,9.794247191E0
4.962934510E-1,2.573766746E-2,2.579752207E-1,9.790489197E0,9.793921194E0
4.988133470E-1,2.094926499E-2,2.531868219E-1,9.780912399E0,9.784211251E0
5.013332430E-1,2.573766746E-2,2.436100245E-1,9.780912399E0,9.783979540E0
5.038531390E-1,3.052607179E-2,2.436100245E-1,9.776124001E0,9.779206418E0
5.063727220E-1,2.094926499E-2,2.627636492E-1,9.776124001E0,9.779677095E0
5.088920970E-1,2.094926499E-2,2.388216257E-1,9.776124001E0,9.779063100E0
5.114114720E-1,2.573766746E-2,2.196680009E-1,9.790489197E0,9.792987040E0
5.139308470E-1,2.094926499E-2,2.436100245E-1,9.795277596E0,9.798328831E0
5.164502220E-1,2.094926499E-2,2.483984232E-1,9.790489197E0,9.793662204E0
5.189696490E-1,2.094926499E-2,2.483984232E-1,9.790489197E0,9.793662204E0
5.214891280E-1,2.094926499E-2,2.340332121E-1,9.790489197E0,9.793308385E0
5.240086600E-1,1.616086066E-2,2.292448133E-1,9.804854393E0,9.807547299E0
5.265282950E-1,2.094926499E-2,2.388216257E-1,9.819219589E0,9.822145793E0
5.290480350E-1,2.573766746E-2,2.292448133E-1,9.804854393E0,9.807567756E0
5.315678780E-1,1.616086066E-2,2.340332121E-1,9.804854393E0,9.807660393E0
