"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.750658420E-1,1.071405262E-1,2.340332121E-1,9.819219589E0,9.822592528E0
3.775863110E-1,1.023521200E-1,2.244564146E-1,9.824007988E0,9.827104843E0
3.801065720E-1,1.119289324E-1,2.244564146E-1,9.804854393E0,9.808061910E0
3.826265720E-1,1.262941360E-1,2.148796022E-1,9.828796387E0,9.831956157E0
3.851465200E-1,1.167173311E-1,2.053027898E-1,9.809642792E0,9.812485102E0
3.876662070E-1,1.071405262E-1,2.196680009E-1,9.819219589E0,9.822260761E0
3.901858950E-1,1.023521200E-1,2.100912035E-1,9.804854393E0,9.807639060E0
3.927054780E-1,1.023521200E-1,2.244564146E-1,9.824007988E0,9.827104843E0
3.952250610E-1,9.277531505E-2,2.244564146E-1,9.838373184E0,9.841370578E0
3.977446450E-1,1.119289324E-1,2.388216257E-1,9.833584785E0,9.837121204E0
4.002642280E-1,1.071405262E-1,2.483984232E-1,9.838373184E0,9.842091636E0
4.027838630E-1,1.119289324E-1,2.531868219E-1,9.828796387E0,9.832693937E0
4.053035510E-1,7.841010392E-2,2.579752207E-1,9.795277596E0,9.798987832E0
4.078232900E-1,6.883329898E-2,2.771288455E-1,9.785700798E0,9.789866114E0
4.103431340E-1,8.319851011E-2,2.723404467E-1,9.776124001E0,9.780270537E0
4.128630820E-1,8.798690885E-2,2.867056429E-1,9.780912399E0,9.785509143E0
4.153830820E-1,9.756372124E-2,2.819172442E-1,9.795277596E0,9.799819345E0
4.179031340E-1,1.071405262E-1,2.819172442E-1,9.785700798E0,9.790347110E0
4.204232380E-1,1.071405262E-1,2.914940715E-1,9.790489197E0,9.795413549E0
4.229433420E-1,9.756372124E-2,2.819172442E-1,9.780912399E0,9.785460816E0
4.254634470E-1,9.277531505E-2,3.010708690E-1,9.780912399E0,9.785984789E0
4.279835510E-1,9.756372124E-2,3.010708690E-1,9.780912399E0,9.786031357E0
4.305036550E-1,1.023521200E-1,3.154360652E-1,9.766547203E0,9.772175814E0
4.330237590E-1,9.277531505E-2,3.250128925E-1,9.790489197E0,9.796321726E0
4.355438630E-1,8.319851011E-2,3.250128925E-1,9.785700798E0,9.791450121E0
4.380639670E-1,8.319851011E-2,3.345896900E-1,9.776124001E0,9.782201834E0
4.405840200E-1,8.798690885E-2,3.393780887E-1,9.790489197E0,9.796764665E0
4.431037070E-1,8.319851011E-2,3.345896900E-1,9.790489197E0,9.796558118E0
4.456231340E-1,8.798690885E-2,3.441664875E-1,9.800065994E0,9.806502218E0
4.481425610E-1,8.798690885E-2,3.441664875E-1,9.776124001E0,9.782575977E0
4.506619880E-1,8.319851011E-2,3.585317135E-1,9.766547203E0,9.773479997E0
4.531814670E-1,8.798690885E-2,3.728969097E-1,9.766547203E0,9.774059447E0
4.557009990E-1,1.071405262E-1,3.633201122E-1,9.766547203E0,9.773889956E0
4.582205820E-1,1.071405262E-1,3.585317135E-1,9.785700798E0,9.792852710E0
4.607402170E-1,9.756372124E-2,3.633201122E-1,9.804854393E0,9.812068582E0
4.632599050E-1,9.756372124E-2,3.585317135E-1,9.804854393E0,9.811892444E0
4.657796450E-1,9.756372124E-2,3.585317135E-1,9.795277596E0,9.802322523E0
4.682994360E-1,9.277531505E-2,3.681085110E-1,9.809642792E0,9.816985425E0
4.708192800E-1,9.277531505E-2,3.537433147E-1,9.804854393E0,9.811672195E0
4.733391760E-1,9.277531505E-2,3.489548862E-1,9.795277596E0,9.801930419E0
4.758591240E-1,1.119289324E-1,3.489548862E-1,9.804854393E0,9.811700529E0
4.783790720E-1,1.167173311E-1,3.585317135E-1,9.804854393E0,9.812101589E0
4.808990200E-1,1.071405262E-1,3.585317135E-1,9.804854393E0,9.811992344E0
4.834189670E-1,1.023521200E-1,3.728969097E-1,9.819219589E0,9.826830690E0
4.859389150E-1,9.277531505E-2,3.728969097E-1,9.819219589E0,9.826735608E0
4.884588110E-1,8.798690885E-2,3.681085110E-1,9.833584785E0,9.840865577E0
4.909786550E-1,1.023521200E-1,3.681085110E-1,9.824007988E0,9.831434930E0
