"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.171224480E-1,1.262941360E-1,2.196680009E-1,9.785700798E0,9.788980761E0
6.196426570E-1,1.167173311E-1,2.292448133E-1,9.790489197E0,9.793868226E0
6.221628650E-1,1.119289324E-1,2.196680009E-1,9.780912399E0,9.784019086E0
6.246830730E-1,1.023521200E-1,2.196680009E-1,9.804854393E0,9.807848880E0
6.272030730E-1,1.071405262E-1,2.292448133E-1,9.819219589E0,9.822479606E0
6.297226050E-1,1.023521200E-1,2.292448133E-1,9.828796387E0,9.832002215E0
6.322421360E-1,1.071405262E-1,2.292448133E-1,9.843161583E0,9.846413673E0
6.347616150E-1,1.071405262E-1,2.244564146E-1,9.828796387E0,9.831942747E0
6.372810420E-1,1.119289324E-1,2.100912035E-1,9.800065994E0,9.802956691E0
6.398004690E-1,1.167173311E-1,2.053027898E-1,9.809642792E0,9.812485102E0
6.423198960E-1,1.262941360E-1,2.244564146E-1,9.800065994E0,9.803449616E0
6.448393230E-1,1.550245583E-1,2.148796022E-1,9.819219589E0,9.822793859E0
6.473587500E-1,1.550245583E-1,2.292448133E-1,9.824007988E0,9.827905105E0
6.498781770E-1,1.310825497E-1,2.531868219E-1,9.814431190E0,9.818571474E0
6.523976050E-1,1.310825497E-1,2.627636492E-1,9.804854393E0,9.809250585E0
6.549170320E-1,1.550245583E-1,2.675520480E-1,9.809642792E0,9.814515190E0
6.574364590E-1,1.646013707E-1,2.675520480E-1,9.780912399E0,9.785955501E0
6.599558860E-1,1.693897694E-1,2.627636492E-1,9.790489197E0,9.795479383E0
6.624753130E-1,1.646013707E-1,2.531868219E-1,9.785700798E0,9.790359405E0
6.649947920E-1,1.502361596E-1,2.531868219E-1,9.800065994E0,9.804487134E0
6.675143230E-1,1.454477459E-1,2.579752207E-1,9.785700798E0,9.790181120E0
6.700339070E-1,1.693897694E-1,2.531868219E-1,9.790489197E0,9.795227163E0
6.725535940E-1,1.502361596E-1,2.579752207E-1,9.785700798E0,9.790253430E0
6.750733860E-1,1.646013707E-1,2.723404467E-1,9.795277596E0,9.800445199E0
6.775933340E-1,1.598129570E-1,2.483984232E-1,9.795277596E0,9.799729850E0
6.801134380E-1,1.550245583E-1,2.531868219E-1,9.780912399E0,9.785416881E0
6.826336460E-1,1.598129570E-1,2.627636492E-1,9.780912399E0,9.785746383E0
6.851539590E-1,1.550245583E-1,2.819172442E-1,9.776124001E0,9.781416586E0
6.876743750E-1,1.598129570E-1,2.819172442E-1,9.752182007E0,9.757564830E0
6.901948440E-1,1.454477459E-1,2.819172442E-1,9.737816811E0,9.742982532E0
6.927153650E-1,1.502361596E-1,2.867056429E-1,9.761758804E0,9.767123731E0
6.952358860E-1,1.502361596E-1,2.723404467E-1,9.766547203E0,9.771498580E0
6.977564070E-1,1.550245583E-1,2.723404467E-1,9.766547203E0,9.771573374E0
7.002763020E-1,1.502361596E-1,2.771288455E-1,9.776124001E0,9.781205027E0
7.027961980E-1,1.358709484E-1,2.723404467E-1,9.776124001E0,9.780860428E0
7.053160940E-1,1.358709484E-1,2.531868219E-1,9.766547203E0,9.770773191E0
7.078359900E-1,1.406593472E-1,2.436100245E-1,9.780912399E0,9.784956733E0
7.103557300E-1,1.215057373E-1,2.627636492E-1,9.780912399E0,9.785195744E0
7.128754690E-1,1.358709484E-1,2.483984232E-1,9.766547203E0,9.770650283E0
7.153952090E-1,1.262941360E-1,2.627636492E-1,9.804854393E0,9.809187765E0
7.179149480E-1,1.310825497E-1,2.388216257E-1,9.804854393E0,9.808638441E0
